City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Grenada,ES,2022-07-12 16:21:23,37.1882,-3.6067,312.35,18,20,5.66
161,Rabo De Peixe,PT,2022-07-12 16:26:22,37.8,-25.5833,296.88,64,40,4.12
162,Hithadhoo,MV,2022-07-12 16:26:22,-0.6,73.0833,301.29,75,51,3.55
163,Mogadishu,SO,2022-07-12 16:26:22,2.0371,45.3438,297.93,81,85,9.24
164,Yiyang,CN,2022-07-12 16:26:23,28.5892,112.3283,302.01,78,18,3.52
165,Constitucion,CL,2022-07-12 16:26:23,-35.3333,-72.4167,284.35,67,100,1.63
166,Agutaya,PH,2022-07-12 16:26:24,11.148,120.9417,301.32,79,100,5.96
167,Ajdabiya,LY,2022-07-12 16:25:08,30.7554,20.2263,300.38,58,0,10.42
168,Vrangel,RU,2022-07-12 16:26:24,42.7297,133.0839,290.28,98,98,1.24
169,Nalut,LY,2022-07-12 16:26:25,30.3333,10.85,310.31,15,0,4.2
170,Richards Bay,ZA,2022-07-12 16:26:25,-28.783,32.0377,292.68,77,96,3.43
171,Stornoway,GB,2022-07-12 16:26:26,58.2093,-6.3865,287.13,73,75,8.23
172,Shihezi,CN,2022-07-12 16:26:26,44.3,86.0333,297.61,36,99,4.69
173,Talcahuano,CL,2022-07-12 16:26:26,-36.7167,-73.1167,282.97,100,100,7.72
174,Aklavik,CA,2022-07-12 16:26:27,68.2191,-135.0107,282.15,93,100,6.17
175,Krasnozerskoye,RU,2022-07-12 16:26:27,53.9828,79.2374,290.57,79,13,4.14
176,Cayenne,GF,2022-07-12 16:23:18,4.9333,-52.3333,305.17,14,40,2.57
177,Hailey,US,2022-07-12 16:26:28,43.5196,-114.3153,299.71,39,0,3.09
178,Guerrero Negro,MX,2022-07-12 16:26:28,27.9769,-114.0611,294.02,74,90,6.01
179,Ullapool,GB,2022-07-12 16:26:29,57.8987,-5.1604,288.34,77,73,7.77
180,Norman Wells,CA,2022-07-12 16:26:29,65.282,-126.8329,291.17,82,75,0.0
